1,Distrito Nacional
2,Azua
3,Baoruco (Bahoruco)
4,Barahona
5,Dajabón
6,Duarte
7,Elías Piña
8,El Seibo [El Seybo]
9,Espaillat
10,Independencia
11,La Altagracia
12,La Romana
13,La Vega
14,María Trinidad Sánchez
15,Monte Cristi
16,Pedernales
17,Peravia
18,Puerto Plata
19,Hermanas Mirabal 
20,Samaná
21,San Cristóbal
22,San Juan
23,San Pedro de Macorís
24,Sánchez Ramírez
25,Santiago
26,Santiago Rodríguez
27,Valverde
28,Monseñor Nouel
29,Monte Plata
30,Hato Mayor
31,San José de Ocoa 
32,Santo Domingo Este 
33,Santo Domingo Norte
34,Santo Domingo Oeste
